Raonament: Hi ha 8 portes i 5 atletes. Cada vegada que arriben a una porta, la primera atleta passa al final de la fila. Calculem la posició de cada atleta després de passar per les 8 portes:
- Ariadna obre la porta 1, i passa al final.
- Berta obre la porta 2, i passa al final.
- Caterina obre la porta 3, i passa al final.
- Diana obre la porta 4, i passa al final.
- Elena obre la porta 5, i passa al final.
- Ariadna obre la porta 6, i passa al final.
- Berta obre la porta 7, i passa al final.
- Caterina obre la porta 8, i passa al final.

Per tant, Caterina obre la darrera porta.

Resposta: C)
