Raonament:

1.  **Identificar les preferències de cada persona**:
    *   Pol: poma
    *   Bruno: poma, pera, taronja, kiwi
    *   Lluís: plàtan, pera, taronja, kiwi
    *   Pina: poma, plàtan
    *   Eva: poma, pera

2.  **Analitzar qui pot agafar cada peça**:
    *   Poma: Pol, Bruno, Pina, Eva podrien agafar-la.
    *   Plàtan: Lluís, Pina podrien agafar-lo.
    *   Pera: Bruno, Lluís, Eva podrien agafar-la.
    *   Taronja: Bruno, Lluís podrien agafar-la.
    *   Kiwi: Bruno, Lluís podrien agafar-lo.

3.  **Determinar qui necessita la pera**: La pera només la poden agafar Bruno, Lluís i Eva. Si Bruno, Lluís o Eva no agafen la pera, no podran complir la condició d'agafar una fruita que els agradi. Si Pol o Pina agafen la poma o el plàtan, encara hi hauria opcions per als altres. L'única opció que garanteix que tothom pugui triar una fruita que li agradi és que **Eva** agafi la pera. Així Bruno podria agafar el kiwi o la taronja. Lluís, el plàtan, Pina, la poma, i Pol agafar la poma.

Resposta: E)
