Raisonnement :
1.  **Définir les variables** :
    *   Soit P = distance entre Pâques et Volcanique
    *   La distance entre Pâques et Déserte est 2 * 18 km = 36 km
    *   La distance entre Fleurie et Volcanique est 18 km / 2 = 9 km.
    *   Le trajet est de 100 km au total.

2.  **Établir une équation** :
    *   Le trajet total est Pâques -> Déserte -> Fleurie -> Volcanique -> Pâques
    *   Ce qui représente : (Pâques -> Déserte) + (Déserte -> Fleurie) + (Fleurie -> Volcanique) + (Volcanique -> Pâques) = 100 km
    *   L'équation devient : 36 + 18 + 9 + P = 100

3.  **Résoudre l'équation** :
    *   P + 63 = 100
    *   P = 100 - 63
    *   P = 37

Réponse : D)
