Raonament:
1.  Observem els nombres donats al cercle: 1, 10, 9, 5, 2.
2.  Calculem les sumes de parells de nombres adjacents i igualem les sumes de parells diametralment oposats:
    *   1 + ?
    *   ? + 9
    *   9 + 5
    *   5 + 2
    *   2 + 10
    *   10 + ?
3.  Sabem que la suma dels nombres adjacents és igual a la suma dels nombres diametralment oposats. Llavors, la suma dels adjacents a 9 (5 i ?) ha de ser igual a la suma de 10 i el nombre adjacent a 10, que és 2, o sigui: 10+2=12.
4.  Aleshores, 9+5=14, i la suma dels nombres diametralment oposats a 9+5 és 14. Així doncs, 10+2=12, així que la suma dels nombres diametralment oposats a 1 i el nombre desconegut (?) ha de ser igual a 12.
5.  A partir d'això, deduïm:
    *   9 + 5 = 14
    *   1 + ? = 12
6.  Resolent per al nombre desconegut, tenim: ? = 12 - 1 = 11, però només hi ha nombres de l'1 al 10. La suma de nombres adjacents al nombre desconegut serà la suma dels adjacents a 10: 2+9=11, i així la suma dels nombres diametralment oposats serà 1+10=11, llavors el nombre que falta és 6.
7.   Confirmem, 1+6=7. La suma dels nombres diametralment oposats és 7. Aleshores, la suma dels nombres adjacents al 9 seria 6+9 = 15, i la suma dels nombres diametralment oposats seria 10+5=15.

Resposta: C) 6
