Raisonnement :
1.  Nous savons que le nombre total de sablés faits par chaque personne est différent.
2.  Nous savons également que la personne qui a fait le plus de sablés le samedi a également fait le plus grand nombre de sablés à la fin du week-end.
3.  Nous devons identifier lequel des nombres donnés est le plus grand après avoir multiplié par 2, 3, 4, 5 et 6.
4.  Cherchons la personne qui a fait deux fois plus de sablés le samedi :
    *   Ahmed : 24 / 2 = 12
    *   Benjamin : 25 / 2 = 12.5
    *   Charline : 26 / 2 = 13
    *   Damien : 27 / 2 = 13.5
    *   Estelle : 28 / 2 = 14
5.  Cherchons la personne qui a fait trois fois plus de sablés le samedi :
    *   Ahmed : 24 / 3 = 8
    *   Benjamin : 25 / 3 = 8.33
    *   Charline : 26 / 3 = 8.66
    *   Damien : 27 / 3 = 9
    *   Estelle : 28 / 3 = 9.33
6.  Cherchons la personne qui a fait quatre fois plus de sablés le samedi :
    *   Ahmed : 24 / 4 = 6
    *   Benjamin : 25 / 4 = 6.25
    *   Charline : 26 / 4 = 6.5
    *   Damien : 27 / 4 = 6.75
    *   Estelle : 28 / 4 = 7
7.  Cherchons la personne qui a fait cinq fois plus de sablés le samedi :
    *   Ahmed : 24 / 5 = 4.8
    *   Benjamin : 25 / 5 = 5
    *   Charline : 26 / 5 = 5.2
    *   Damien : 27 / 5 = 5.4
    *   Estelle : 28 / 5 = 5.6
8.  Cherchons la personne qui a fait six fois plus de sablés le samedi :
    *   Ahmed : 24 / 6 = 4
    *   Benjamin : 25 / 6 = 4.16
    *   Charline : 26 / 6 = 4.33
    *   Damien : 27 / 6 = 4.5
    *   Estelle : 28 / 6 = 4.66
9.  Les chiffres de 12 à 14 sont les plus grands des résultats des calculs précédents. Estelle a fait le plus grand nombre de sablés le samedi.

Réponse : E)
