Raonament: En un rellotge digital, les hores van de 00 a 23 i els minuts de 00 a 59. Per trobar la suma màxima dels dígits, hem d'explorar diferents combinacions d'hores i minuts. La suma dels dígits de les hores (de 00 a 23) pot anar de 0 (00) a 5 (23). La suma dels dígits dels minuts (de 00 a 59) pot anar de 0 (00) a 14 (59). Llavors, analitzem els casos extrems de les hores:
- Si les hores són 19, els minuts haurien de ser 59, així la suma seria 1+9+5+9 = 24.
- Si les hores són 23, els minuts haurien de ser 59, així la suma seria 2+3+5+9 = 19.
D'altra banda, si les hores fossin 09, els minuts podrien ser 59 i així la suma seria 0+9+5+9=23.
Si provéssim amb 00:59, 0+0+5+9=14
Si provéssim amb 10:59, 1+0+5+9=15
Si provéssim amb 11:59, 1+1+5+9=16
Si provéssim amb 12:59, 1+2+5+9=17
Si provéssim amb 13:59, 1+3+5+9=18
Si provéssim amb 14:59, 1+4+5+9=19
Si provéssim amb 15:59, 1+5+5+9=20
Si provéssim amb 16:59, 1+6+5+9=21
Si provéssim amb 17:59, 1+7+5+9=22
Si provéssim amb 18:59, 1+8+5+9=23
Si provéssim amb 19:59, 1+9+5+9=24
Si provéssim amb 20:59, 2+0+5+9=16
Si provéssim amb 21:59, 2+1+5+9=17
Si provéssim amb 22:59, 2+2+5+9=18
Si provéssim amb 23:59, 2+3+5+9=19
Per tant, el màxim és 24.

Resposta: A)
