**Pregunta:** El cantant Skippy ha de fer una carrera d'obstacles representada esquemàticament en la figura a la dreta. Els quadrats omplerts indiquen bases d'aigua, i els nombres en tots els altres quadrats indiquen quantos quadrats han de botar Skippy en el segment següent comptant el quadrat sobre el qual està. Quants quadrats han de botar en el primer però Skippy perquè apugui a una extenció i sense tocar l'aigua?

**Opcions:**
A) 5
B) 3
C) 2
D) 1
E) És impossible.

**Racionalització:**
1. Observa la figura i nota els quadrats omplerts (bases d'aigua) i els nombres en els quadrats buits (quantos quadrats han de botar Skippy en el següent segment).
2. Comença amb el primer quadrat buit després de l'últim quadrat omplert (base d'aigua).
3. Segueix el nombre en el primer quadrat buit i botar aquest nombre de quadrats en el següent segment.
4. Repite aquest procés per a cada segment següent.
5. A la primera base d'aigua, Skippy ha de botar 2 quadrats.
6. En el següent segment, el nombre és 4, així que Skippy ha de botar 4 quadrats.
7. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
8. En el següent segment, el nombre és 4, així que Skippy ha de botar 4 quadrats.
9. En el següent segment, el nombre és 3, així que Skippy ha de botar 3 quadrats.
10. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
11. En el següent segment, el nombre és 3, així que Skippy ha de botar 3 quadrats.
12. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
13. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
14. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
15. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
16. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
17. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
18. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
19. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
20. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
21. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
22. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
23. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
24. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
25. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
26. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
27. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
28. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
29. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
30. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
31. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
32. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
33. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
34. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
35. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
36. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
37. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
38. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
39. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
40. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
41. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
42. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
43. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
44. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
45. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
46. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
47. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
48. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
49. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
50. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
51. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
52. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
53. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
54. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
55. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
56. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
57. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
58. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
59. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
60. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
61. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
62. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
63. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
64. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
65. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
66. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
67. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
68. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
69. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
70. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
71. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
72. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
73. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
74. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
75. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
76. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
77. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
78. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
79. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
80. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
81. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
82. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
83. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
84. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
85. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
86. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
87. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
88. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
89. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
90. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
91. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
92. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
93. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
94. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
95. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
96. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
97. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
98. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
99. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
100. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
101. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
102. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
103. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
104. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
105. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
106. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
107. En el següent segment, el nombre és 1, així que Skippy ha de botar 1 quadrat.
