Raonament:
1.  **Identifica les xifres conegudes:** Les xifres visibles són 1, 5, 7, 2, 8, 0, 2, 2, 3, 3, 1, 4.
2.  **Determina la suma parcial:** La suma de les xifres conegudes en la columna de les unitats és 0 + 1 + 4 = 5
3.  **Observa la suma total:** La suma total és 57263.
4.  **Analitza les opcions:**
    *   Comencem per la columna de les unitats. La suma és 3, per tant la suma de les xifres que hi ha de falta és 3. Les opcions A), B) i C) sumen 2,9 i 9 respectivament, per tant, les descartem.
    *   Anem a la columna de les desenes. Les xifres conegudes sumen 6. La suma total és 6.
    *   A continuació, la columna de les centenes: 7+8+3 = 18.  
    *   A continuació, la columna de les unitats de miler: 5+2+2 = 9.
    *   A continuació, la columna de les desenes de miler: 1+2=3.
    *   L'opció D), si la reemplacem amb les xifres que falten, ens dona: 15728 + 22704 + 2331 = 57263, per tant és la resposta correcta.
    *   L'opció E) es pot descartar.
5.  **Selecciona l'opció correcta:** L'opció D) 2, 7 i 8 proporciona els dígits tapats correctes.

Resposta: D)
